station_name,station_city,station_geopos,station_capacity,station_id
Horizon View Park,Seattle,47.64235481338825::-122.3884206289809,59,2726
920 East 45th Street,New York,40.76606006905568::-73.80078481131363,7,225
Grovewood Street,Dallas,32.6658914923875::-96.87495950586521,29,3488
Kraft Avenue,Los Angeles,34.13272351393836::-119.1172566782495,16,1436
Fort Funston Road,San Francisco,37.7560648099748::-122.4126300389506,34,130
364 Maspeth Avenue,New York,40.65555977344421::-73.77045653713553,7,3257
7500 East Marginal Way South,Seattle,26.84010619757775::-80.07019260979547,7,3064
Bevis Avenue,Los Angeles,34.28005563590685::-119.03825387106,7,215
21st Avenue,San Francisco,37.78298238810629::-122.4870192049265,20,1068
119-34 177th Place,New York,40.67448536423383::-73.85575704435917,40,1872
West Adams Street,Chicago,41.93953579755802::-87.77506022100246,7,3466
Monterey Boulevard,San Francisco,37.77177654791405::-122.4931571173926,34,1003
216th Street Southwest,Seattle,47.7163499777943::-122.3055936654072,7,89
North Waller Avenue,Chicago,41.84320449566498::-87.66312487803565,7,2729
Lubao Avenue,Los Angeles,34.16183815091326::-118.5979424872101,7,2338
West 223rd Street,Los Angeles,34.30973335152197::-118.9774554936825,22,2910
Ridge Road,New York,40.7651865542271::-73.83202316014561,4,1991
138-35 Elder Avenue,New York,40.71468085035158::-73.89147885787072,19,2922
Military Parkway,Dallas,32.71279683025237::-96.82838135208732,7,673
2452 North Clybourn Avenue,Chicago,41.942787278606::-87.78680455044493,7,3104
Evans Avenue,San Francisco,37.74405944901077::-122.3896985595516,30,1841
Farragut Road,New York,40.74602371829533::-73.70223192507682,38,751
Caselli Avenue,San Francisco,37.68614563168396::-122.4753271134046,25,3493
Plummer Street,Los Angeles,34.3192701070983::-118.7546464266731,38,3141
Jacqueline Court,San Francisco,37.78117255721925::-122.452003963361,14,2354
Farm-to-Market Road 2931,Dallas,32.81692244204908::-96.70152149657508,14,1252
Emerson Avenue,Los Angeles,34.22061105121524::-118.477228835168,20,829
28-43 38th Street,New York,40.77692726896006::-73.76812088358962,8,1871
West Cortland Street,Chicago,41.90826038948308::-87.78771339863734,34,383
32-35 105th Street,New York,40.65363381632667::-73.87282934991985,30,2025
Montefiore Avenue,New York,40.62555479090427::-73.94323057684042,7,943
Forest Park Branch,Chicago,41.90490193531223::-87.63352352678193,22,3743
Tina Drive,Dallas,32.9333591658939::-96.80379347844882,23,1542
,Chicago,42.00855652329724::-87.89328781426963,34,3138
Southwest 63rd Manor,Miami,25.99182116624011::-80.28948213008182,27,2308
69-39 67th Place,New York,40.74756351570787::-73.81804936344548,0,2591
Sandy Lane,Dallas,32.82600523621567::-96.7478957949198,22,2118
North Tarrant Parkway,Dallas,32.7344518512098::-96.74053322177478,7,774
Deane Street,Chicago,41.89760046662704::-87.69823456896981,7,404
Main Street,Chicago,41.99233575788618::-87.71443964977753,7,2746
Link Light Rail,Seattle,47.76877669401939::-122.2992062104872,7,1047
South Sierra Vista Street,Los Angeles,34.36071273856582::-118.9375655392364,7,3038
Porter Valley Drive,Los Angeles,33.93960367319087::-118.218596555242,33,2740
South Plummer Street,Seattle,25.99131697891801::-80.11617019655337,7,1001
100 Elgar Place,New York,40.88433777700791::-73.8265074274223,31,2536
Tower 18,Chicago,41.80334026981394::-87.60081544486465,14,701
West Janss Road,Los Angeles,34.28516606388434::-118.981623359017,8,1385
Preston Fairways Drive,Dallas,32.69540353587756::-96.72916976269738,7,3267
Crenshaw Drive,Dallas,32.83428170686319::-96.90410965597638,16,3457
Bright Street,San Francisco,37.73096075503158::-122.4413586304146,6,1942
C F Hawn Freeway,Dallas,32.65078716114913::-96.85913975816163,28,578
Stockton Road,Los Angeles,34.00728752693796::-118.1155876100377,7,862
SeaGlass Restaurant,San Francisco,37.77683783968509::-122.4473063896413,9,3112
Northwest 4th Street,Miami,26.2453313260515::-80.21426814629906,30,3579
Elaine Road,Miami,26.6202684199138::-80.11346727248217,12,3323
San Gabriel River Freeway,Los Angeles,33.95108527937928::-118.1029705148273,7,2488
290 Frost Street,New York,40.72192618878952::-73.69984214308117,38,2218
117-36 200th Street,New York,40.69364764538577::-73.89794375717796,7,1472
Horner Nature Garden,Chicago,42.06222214113394::-87.94726107488486,37,1440
Riverview Road,Dallas,32.88044323595336::-96.8836632429891,27,1137
White Street,Chicago,42.03451620794934::-87.85450591421977,7,1067
1655 Astor Avenue,New York,40.77377530562481::-73.79614268695376,7,637
Back Woods Path,Dallas,32.74273230745026::-97.23826590865977,26,860
Bryce Avenue,San Francisco,37.73567713447191::-122.5003475815444,21,663
3942 North Paulina Street,Chicago,41.92093601616305::-87.66165565161549,9,3355
3619 Bainbridge Avenue,New York,40.87753854460126::-73.84753026952399,7,2758
Little Neck Bay,New York,40.65127771823617::-73.80523837372093,19,2869
Linden Boulevard,New York,40.69515797664957::-73.76048532686234,27,520
157th Street,New York,40.66105459179659::-73.91130892393299,33,3187
Little Bay Park Greenway,New York,40.85365063213565::-73.83880339462699,7,1925
Pier A Avenue,Los Angeles,34.051940895157::-118.4925437605461,31,3486
Hollywood Freeway,Los Angeles,34.16472977309713::-118.6380016913568,36,1720
South Sierra Vista Street,Los Angeles,34.25889935022227::-118.8968270425967,39,529
Henry Street,New York,40.84474800345717::-73.8841319437057,21,2018
South York Street,Denver,39.83571294197775::-104.9556975081558,7,214
2135 South Halsted Street,Chicago,41.82243102389715::-87.6974297758938,34,2837
Dos Vientos Open Space,Los Angeles,34.05095551632111::-118.6598745755784,7,3406
52nd Avenue West,Seattle,47.547963312551::-122.3711383343397,19,3303
Los Alamos Canyon Road,Los Angeles,34.14887353172207::-118.9371651938014,7,646
Alyson Way,Dallas,32.84138216694523::-96.83039148199046,32,1011
94th Place South,Seattle,47.46889214998995::-122.2716828732595,34,1458
Suffolk Avenue,Los Angeles,34.00483843570869::-118.2862369933532,7,2743
Sea Island Drive,Dallas,32.98257801345801::-96.84064063186707,14,815
West 71st Place,Miami,25.9744677481908::-80.38516840059434,21,2878
Dover Parkway,New York,40.61127471446411::-73.9456280910246,7,1771
South Rockingham Avenue,Los Angeles,34.07019306323497::-118.0683076427476,7,775
150 Mississippi Street,San Francisco,37.67612695435352::-122.487865200366,12,2265
4947 West Parker Avenue,Chicago,41.80334026981394::-87.60081544486465,28,292
North Kostner Avenue,Chicago,41.98084048582901::-87.68066943346702,10,385
3922 47th Avenue Northeast,Seattle,47.59388234732243::-122.1451396685849,27,1597
Davidson Avenue,San Francisco,37.72050253462999::-122.4844262213972,30,1742
East Hawthorne Circle,Miami,26.893514068632::-80.08670201119024,7,2251
228th Street Southwest,Seattle,47.67006340128893::-122.1215265696553,38,2289
1029 East 45th Street,Chicago,41.89895550809184::-87.70353123889871,4,2274
2103 North Hoyne Avenue,Chicago,42.01136641841417::-87.75137118943805,21,840
174-03 125th Avenue,New York,40.74014836738586::-73.9115177415639,7,1735
1029 East 45th Street,Chicago,41.9906843313122::-87.7985813916943,41,805
Fields Road,Dallas,32.91181531428283::-96.95847949331581,7,692
186th Lane,New York,40.66336155586082::-73.77958171214969,7,3640
South Ocean Boulevard,Seattle,47.56086377099479::-122.3065849341435,0,3318
2934 North Pulaski Road,Chicago,41.81730022898224::-87.70675516303798,7,2497
May Creek Trail,Seattle,47.76493718896338::-122.1949522380045,32,138
Lake Merced Bike Path,San Francisco,37.71001234760926::-122.476867418968,24,3126
Eric Avenue,Los Angeles,34.21728159833312::-118.4748552884062,40,1521
Cowper Avenue,Dallas,33.12302189953952::-96.79059458026154,7,2006
Hillcrest Road,New York,40.62377171857626::-73.97185509303814,7,3523
3956 South Western Avenue,Chicago,41.83645117687212::-87.5993944016778,7,528
881 East 38th Street,New York,40.75719958711472::-73.86292095965452,9,1930
L,Miami,26.65209053271971::-80.07776568406672,7,1864
Avalon Drive,San Francisco,37.76621273009552::-122.4635439966424,8,1624
SW 89th Path,Seattle,47.76732001704872::-122.2924662792629,7,976
Fairway Meadows Drive,Dallas,32.81828545275517::-96.89223980158425,54,492
Edna Court,New York,40.61700063090732::-73.99272544608036,7,250
East 18th Street,Miami,26.92140545214346::-80.12132304912758,3,1594
Garapito Canyon Trail,Los Angeles,34.01674772711446::-118.2892702765502,0,2154
Whittier Boulevard,Los Angeles,34.0269750043497::-118.0379783597226,7,2898
Broad Street Baptist Church,San Francisco,37.76800971796673::-122.5048380342208,7,1033
SW Riverside Drive,Miami,26.61817516107521::-80.21637412895963,14,586
North Cottonwood Valley Circle,Dallas,33.09126905727631::-96.7943464215175,3,3432
SW Riverside Drive,Miami,26.6202684199138::-80.11346727248217,27,1390
West Tarrant Road,Dallas,32.99519679792306::-96.64168868751585,24,957
North Creek Trail,Seattle,26.70737360287032::-80.22610976473477,7,1411
,Seattle,47.63163686232317::-122.3070849017646,7,503
Blackjack Oaks Drive,Dallas,32.71201783376133::-96.73180844951911,25,3016
Sheridan Street,Miami,26.08516270611695::-80.30430499666271,12,3076
Marine Park Salt Marsh Nature Trail,New York,40.64430788677642::-73.9335656091385,7,2438
Commons Way,Miami,25.75410278027776::-80.28210013865581,11,1642
Spafford Avenue,Miami,25.85840938423256::-80.2166081881404,20,1869
432 Dewey Boulevard,San Francisco,37.75423437786519::-122.4701078807727,27,729
Southwest 68th Avenue,Miami,26.73480292880232::-80.27382805943476,7,373
131st Place Northeast,Seattle,47.30269546804664::-122.2512200913582,9,2246
203rd Street Southwest,Seattle,26.23389212077607::-80.22348564187065,35,512
Preston Road,Dallas,32.9589647899847::-96.95630146220051,38,381
Ridge Road,Miami,26.89029968877245::-80.10516991960256,28,2335
Lbj Freeway Service Road North,Dallas,32.705628262415::-96.83805925348619,7,1248
37th Street,Chicago,42.01459739147857::-87.6755176949366,31,3643
El Camino Real,San Francisco,37.77065187433902::-122.3956223483551,7,1106
Conservation Levee Greenway L-35A,Seattle,47.65158750118684::-122.3097004670584,26,1922
North Los Angeles Street,Los Angeles,34.31168515020938::-118.8256130182302,7,1076
Turtle Cove,New York,40.69657072294794::-73.79494098462722,20,2186
Townsend Drive,Dallas,32.90354931612825::-97.27272826424185,50,1845
Lake Carolyn Promenade,Dallas,32.88439541955253::-96.83367603074821,7,1415
18th Avenue North,Miami,26.474704821484::-80.19748572101645,9,3051
Occidental Avenue South,Seattle,47.54420758052756::-122.316515420998,26,3661
Hillcrest Ridge Trail,Los Angeles,34.21278047250258::-118.4933320284143,27,2909
7544 28th Avenue Northeast,Seattle,47.54252252635603::-122.3923081161363,41,2155
Poinsettia Avenue,Miami,26.44508289839274::-80.11690382815075,7,3176
144-25 Melbourne Avenue,New York,40.67475815369443::-73.96133672079107,7,1207
4379 West Ogden Avenue,Chicago,41.81611140320928::-87.71426089555858,26,2448
4500 West Congress Parkway,Chicago,41.81980523148525::-87.67706967548142,15,1405
Plainfield Avenue,New York,40.85935107131128::-73.83845282677474,34,1941
1525 Arkansas Lane,Dallas,32.83364073463814::-96.7263864886414,8,68
Southwest 17th Court,Miami,26.07804592167218::-80.15627873771007,31,2456
North Lorel Avenue,Chicago,41.88740263998334::-87.73951337432244,43,182
Southwest 112th Avenue,Miami,26.71443974828785::-80.0920393376489,22,312
240-49 42nd Avenue,New York,40.59757553059546::-73.97675174957494,23,2582
Veterans Blvd,San Francisco,37.77464302825073::-122.4989249554896,14,951
1229 57th Street,New York,40.75060516835443::-73.74250840651486,15,462
South University Drive,Miami,25.69112291696903::-80.34708386934487,17,3331
Langdon Road,Dallas,33.08485837804646::-96.67140240646185,7,2156
La Barca Place,Los Angeles,34.15325648044413::-118.8637327808092,2,3184
39th Avenue,San Francisco,37.74265136187849::-122.5192693752373,7,85
Laguna Honda Boulevard,San Francisco,37.78160420376079::-122.4415655569072,8,2514
Oak Creek Canyon Loop Trail,Los Angeles,34.16700622530892::-118.6884924935547,35,2345
West Diversey Avenue,Chicago,41.99830509032064::-87.73680838687447,31,630
South 53rd Avenue,Chicago,41.88625599610234::-87.74213135003023,28,2294
6210 North Talman Avenue,Chicago,41.84320449566498::-87.66312487803565,54,922
Sunset Drive,Seattle,47.80276348104149::-122.2744135732016,15,1210
Angels Point Road,Los Angeles,34.28391080273005::-119.0026001490594,7,1433
North Monticello Avenue,Chicago,42.01242009712586::-87.75856313638002,7,1749
West Kinzie Street,Chicago,41.87500263499::-87.65155100344823,7,407
135-46 114th Place,New York,40.82239827531775::-73.88678097456868,7,1193
2135 South Halsted Street,Chicago,42.12727491053055::-88.15875225007107,7,3651
Morgan Avenue,New York,40.73888609795215::-73.82326332459368,37,2269
CTL V Road,Los Angeles,34.20650471216367::-118.4509051841165,24,997
Perimeter Road,Dallas,32.78198385247256::-96.84924257227577,33,71
Inverrary Drive,Miami,26.3798292959685::-80.23209382710928,48,164
Williamstown Road,Dallas,32.71355382122381::-96.98874825149686,20,638
Forest Hills Boulevard,Dallas,32.77563760414196::-96.62884713944767,29,3378
12-23 148th Street,New York,40.6725276013299::-73.72188486439588,7,3152
Oak Ridge Road,Los Angeles,33.96440007199501::-117.9833916570865,30,283
Preston Ridge Trail,Dallas,32.8872915680836::-97.38877802199045,7,3721
Reeves Avenue,New York,40.70713671105204::-73.90672907092281,7,1284
Westdale Avenue,San Francisco,37.78105928768093::-122.4041883335041,47,3246
80-60 57th Street,New York,40.64897756704546::-73.984381984623,7,536
Northeast Loop,Dallas,32.92928508257545::-96.89308256236052,39,1014
Calvert Street,Los Angeles,34.26911361413227::-118.8112627440051,2,3045
2142-2148 North Natchez Avenue,Chicago,41.99446433723547::-87.69635421459409,10,180
Orion Avenue,Los Angeles,33.93175201393161::-118.0142064516796,7,1632
337 Avenue T,New York,40.88433777700791::-73.8265074274223,7,2339
Church Street,Chicago,41.81603260528534::-87.65932661167852,23,1211
Meandering Road,Dallas,32.92282836847579::-96.81244658471022,36,3276
Azalea Avenue,Miami,26.08211797389361::-80.23630521192744,20,3327
Yolanda Avenue,Los Angeles,34.29962737385692::-118.9427749825168,32,2092
2334 West Argyle Street,Chicago,41.96249207281109::-87.72264144819768,54,3190
Teresita Boulevard,San Francisco,37.79282861191364::-122.399644084465,35,2183
1815 B Brown Street,San Francisco,37.6531523127131::-122.4786024348874,29,121
#14,Chicago,41.96649347242649::-87.68346919285767,7,2557
Balboa Boulevard,Los Angeles,33.92677191379335::-117.9785236861306,7,2507
West Janss Road,Los Angeles,34.22665593357276::-118.5846093401771,29,408
Lake Placid Drive,Dallas,32.69279484350407::-96.72153514584733,8,2830
West Kinzie Street,Chicago,41.92737615235819::-87.69493129425867,15,702
195 Lake Avenue West,Seattle,47.60603715111132::-122.1922528383706,24,556
Carambola Circle South,Miami,26.84247447600806::-80.12279280241856,42,3724
Root Street,Chicago,42.0330647879843::-87.91416809951556,7,1256
13209 Northeast 126th Place,Seattle,47.7063364080738::-122.3344746925283,12,1040
Perimeter Road,Miami,25.74865457006189::-80.33825280199386,7,163
3603 29th Avenue West,Seattle,47.31062561576394::-122.2502130862286,3,707
Pleasant Drive,Dallas,32.71632613964306::-97.08500519578925,7,1299
No 2 Canyon Fire Road,Los Angeles,34.08309649483667::-118.2444568802448,11,106
Southeast 196th Street,Seattle,47.73746476316413::-122.2415169011829,25,3557
162nd Street,New York,40.67876945668291::-73.75344940655275,7,1590
Sovereign Road,Dallas,32.78946261944458::-96.72194020427438,17,493
Staff Garage 2,Dallas,33.17653247173615::-96.63122767087253,7,2672
Ridgepoint Drive,Dallas,32.8374998520702::-96.75747901122651,33,103
North Kasson Avenue,Chicago,41.86995713321307::-87.65109897700235,27,883
3832 North Odell Avenue,Chicago,41.98623338106788::-87.67433477609082,6,639
Westwood Drive,Chicago,41.91391474822517::-87.81192908920056,36,1754
Easy Street,Dallas,32.77628313311369::-96.80396101200171,46,741
Donahue Street,San Francisco,37.80645832426437::-122.4363440328872,38,3163
West Walnut Hill Lane,Dallas,32.85951175766976::-96.86170361632539,10,1018
Southwest 9th Avenue,Miami,25.64791233298053::-80.35144164748974,24,1741
San Fernando Mission Boulevard,Los Angeles,33.96717625172131::-118.2811580047107,41,3027
Palm Avenue,San Francisco,37.72425725380175::-122.4841108446934,7,3555
147-44 Jasmine Avenue,New York,40.93007155111618::-73.81746784071338,61,1219
Pulaski Bridge,New York,40.63801181126637::-73.92200830003495,7,648
2817 Snyder Avenue,New York,40.7366522282227::-73.71557858786788,7,2330
North Island Avenue,Los Angeles,34.01671833456813::-118.0039110274757,33,1054
Sutter Street,San Francisco,37.78308843303647::-122.5024382440561,21,388
North Rockwell Street,Chicago,41.89877681927813::-87.72312200660343,7,1674
North Lake Shore Drive,Chicago,41.96501436549434::-87.75286266305899,7,195
Sepulveda Boulevard,Los Angeles,33.9029883293212::-117.972613194959,7,1523
San Clemente,Dallas,32.8148966995133::-97.34414566722455,20,3084
Campo Road,Los Angeles,33.97268965599241::-118.0858953976712,4,3619
Pacific Avenue,San Francisco,37.74783427182297::-122.3910904483254,34,1041
Harbor Freeway,Los Angeles,34.21507079578391::-118.7557273848336,13,3568
Potomac Street,Denver,39.99222739058636::-104.9561704226248,28,232
232nd Place Southwest,Seattle,25.63823627980429::-80.38479128608414,34,2142
5749 West Race Avenue,Chicago,41.9336156930267::-87.6878638529848,53,81
Cherry Industrial Circle,Los Angeles,34.29788970812271::-118.7337489508232,7,2432
540 Northeast 104th Street,Seattle,26.32246534557667::-80.17823306125564,7,2302
37-05 68th Street,New York,40.70770214890727::-73.95238576459988,7,1303
24th Avenue South,Seattle,47.55986091722439::-122.3396529701047,7,3705
No 2 Canyon Fire Road,Los Angeles,34.1497116069914::-118.8065352430769,29,440
Campania Drive,Miami,26.03934534878118::-80.37486883525001,7,3725
Garden Grove Avenue,Los Angeles,34.2621310125641::-119.0471501900508,37,3596
Thorpe Avenue,Los Angeles,34.09058404909454::-118.9549327812224,22,3022
Main Road,Denver,,34,14
Santa Fe Drive,Dallas,33.08571323996877::-96.7934615406145,7,2865
Pine Court,Miami,26.87705895361932::-80.076786726138,33,2500
Markham Park Road,Miami,26.54066999628729::-80.08158810332424,12,1868
Blue Line,Los Angeles,34.31332468656417::-118.8869670250337,44,33
5035 South Ellis Avenue,Chicago,42.00946243551044::-87.74492052527343,7,3537
3362 East Shore Drive,Seattle,47.76794527387464::-122.2464604927376,7,1886
,New York,40.70610598376272::-73.75852061990466,7,1761
215-26 Jamaica Avenue,New York,40.58795469481535::-73.96565596080647,24,3566
Great Highway,San Francisco,37.73894499819895::-122.3804340603827,17,3160
333 Market Street,San Francisco,37.79441897061528::-122.4663162367191,4,386
Pueblo Street,San Francisco,37.73239582271228::-122.4045465160074,7,1755
2231 South Christiana Avenue,Chicago,41.83801284693229::-87.7420875842367,32,3319
Northwest 197th Place,Seattle,47.76457074463111::-122.3058379462968,40,1658
Presidential Drive,Dallas,33.11633892918945::-96.76880085339263,18,2630
84-70 98th Street,New York,40.59555530554419::-73.98101512137329,7,3007
Job Corps Riverbank,Chicago,42.093602280616::-88.00767771302081,7,2540
Amesbury Drive,Dallas,32.86353674678885::-96.8339463974921,27,1454
364 Maspeth Avenue,New York,40.76184431893699::-73.86627428390952,7,1350
Jordan Street,Dallas,33.13349628649816::-96.75959214959151,9,2366
Hope Avenue,New York,40.91590078041015::-73.84755280805234,7,252
Forney Road,Dallas,33.00369666286897::-96.63575867499797,7,1626
Gonzalez Drive,San Francisco,37.77011160761224::-122.4281344803466,7,148
104-58 47th Avenue,New York,40.61169404215487::-73.96374860910474,7,3206
2227 East 2nd Street,New York,40.93750631186637::-73.72663934695058,7,2933
Swiss Avenue,Dallas,32.69627398445284::-96.84789900914296,52,3110
Clydedale Drive,Dallas,32.8012849478238::-96.77854051126438,28,1165
Victor Avenue,Los Angeles,34.26213842330981::-118.5394057314636,7,1843
Northwest 22nd Avenue,Miami,26.83863628215559::-80.09916001474598,37,3715
157th Street,New York,40.71399997037431::-73.83206547007084,30,2544
Barbados Drive,Miami,26.70737360287032::-80.22610976473477,7,1867
3455 Conner Street,New York,40.62232570709493::-74.00485618736217,7,2286
Ederville Road,Dallas,32.85967238693574::-97.03418071728231,38,3320
Palm Beach Lakes Boulevard,Miami,26.01052644725813::-80.31427155794805,7,1379
Evergreen Drive,Miami,25.66053732674809::-80.33300831835892,25,67
Southwest 39th Street,Seattle,26.59442936575729::-80.16924026150862,3,1928
Lakefront Trail,Chicago,41.92737615235819::-87.69493129425867,32,2711
Haynes Street,Los Angeles,34.24972763903812::-118.7862814990903,7,2349
Bardfield Avenue,Dallas,32.81349486963081::-96.84295027886193,13,176
Woodruff Avenue,Los Angeles,34.1916400441485::-118.7116029084865,5,1131
3326 North Kilpatrick Avenue,Chicago,41.92844287494559::-87.66968646256997,7,325
AirTrain JFK,New York,40.84320047671126::-73.85584945653055,18,3745
Sandstone Hill Terrace,Seattle,47.46798498748102::-122.1897053861994,24,3053
Forest Park Drive Northeast,Seattle,47.65757610503805::-122.3662503094267,7,1905
29-04 Humphreys Street,New York,40.66808800389779::-73.86418813171959,37,1694
Lind Avenue Southwest,Seattle,47.69119771362767::-122.29627303086,4,2896
160-18 111th Avenue,New York,40.73645972300976::-73.92446056073946,7,2124
Ilwaco Place Northeast,Seattle,47.58331129528209::-122.3265634514883,7,92
621 Montgomery Street,New York,40.70679507016942::-73.88547306736217,7,1363
50 Phelan Avenue,San Francisco,37.75167358042464::-122.4419434208739,14,1233
Thousand Pines Drive,Seattle,26.65934267924476::-80.09916164512339,20,1944
Hardrock Road,Dallas,32.87093591067651::-96.89091301303061,0,1679
Schwerin Street,San Francisco,37.76751905203692::-122.4873577490028,11,1675
Adelfa Drive,Los Angeles,34.07821352924617::-118.81491224575,7,1484
East Marginal Way South,Seattle,47.55605440555327::-122.038151967662,20,1026
Halls Lake Way,Seattle,47.63823441804839::-122.1534778824705,8,3385
37-05 68th Street,New York,40.72728860895403::-73.89773718858282,47,3695
Madison Street,Chicago,42.03543180493373::-87.76121663413062,7,866
Ferguson Road,Dallas,32.84660900731225::-96.59967119251377,29,1105
Algona Boulevard North,Seattle,47.61217983895792::-122.2348420306726,7,202
Muni Metro / Twin Peaks Tunnel,San Francisco,37.69620756166952::-122.4836464252006,30,2955
Cypress Avenue,San Francisco,37.80000021576772::-122.4032278459935,7,958
Northwest 75th Terrace,Miami,26.29346463634793::-80.21011580356607,7,2199
#14,Chicago,41.86995713321307::-87.65109897700235,7,3207
Vera Canyon Drive,Los Angeles,34.37035892577045::-118.7423374041112,35,3017
Stockton Road,Los Angeles,34.19242427822979::-118.8758573445584,18,1522
Colma Boulevard,San Francisco,37.72839219108257::-122.4568214386404,15,2747
Southwestern Medical Avenue,Dallas,32.77411604867692::-97.03519342719198,13,2067
Dormitory Road,San Francisco,37.79359861996716::-122.4042591101928,37,340
Elms Terrace,Chicago,41.82412864682318::-87.66358885266754,7,2464
East 127th Street,Los Angeles,34.25889935022227::-118.8968270425967,42,1332
42-22 67th Street,New York,40.70770214890727::-73.95238576459988,51,3189
2790 Green Street,San Francisco,37.69334127001072::-122.4892128723236,40,2984
42nd Avenue,San Francisco,37.7172394609978::-122.4811618444908,0,2003
Continental Avenue,Los Angeles,34.04663488518793::-118.0248767624008,7,1916
Colony Palm Drive,Seattle,47.66908909532096::-122.387713313139,12,2977
Oriente Street,San Francisco,37.65867635745833::-122.3831625238578,7,1887
2389 King Terrace,Miami,25.85782656238315::-80.28122876991652,36,1593
West Eastman Street,Chicago,41.92093601616305::-87.66165565161549,7,3371
West Aldine Avenue,Chicago,41.91567799526285::-87.65328256016488,46,3491
Southwest 93rd Place,Miami,26.72386308718683::-80.15631309085298,7,2674
3942 North Paulina Street,Chicago,41.94289305057691::-87.71704620669158,17,2877
Golden Gate Avenue,San Francisco,37.74405944901077::-122.3896985595516,48,2204
California Street,San Francisco,37.74963901939425::-122.4879293676383,10,996
Caruth Boulevard,Dallas,32.86536626787434::-96.80635198283986,27,2475
Crossroads Parkway North,Los Angeles,34.14308260937938::-118.562839499244,1,319
Lefferts Boulevard,New York,40.682107732778::-73.76985898107577,49,633
Lakefront Trail,Chicago,41.95368938080926::-87.67195290702178,7,1282
4947 West Parker Avenue,Chicago,41.85639023884465::-87.66294678047704,32,3002
El Camino del Mar,San Francisco,37.70422959832254::-122.4549944119917,7,929
Victoria Park,Dallas,33.03355158161069::-96.8891916350653,7,3145
Haulover Beach,Miami,26.12412608234693::-80.28509824453656,7,254
Southwest 27th Terrace,Seattle,47.49445341724636::-122.211438389091,16,800
Adams Road,Miami,26.7292515188303::-80.17402860540705,7,2675
Alma Drive,Dallas,32.72667575228459::-97.33456322143526,7,3708
Commercial Avenue,San Francisco,37.72799577322439::-122.3702980720096,5,1656
Trinity Trail,Dallas,33.0066853430056::-96.83881110197302,0,59
Paradise Lane,Denver,40.13367537843022::-104.9074980074558,7,125
Via Del Rey,Los Angeles,34.18282843095455::-118.4719813565749,17,2187
Southwest 7th Street,Miami,26.0781368154589::-80.35585251891062,0,2720
Northeast 32nd Street,Seattle,26.54066999628729::-80.08158810332424,7,2276
1819 North 107th Street,Seattle,47.65812063841793::-122.2907965182597,26,136
16th Avenue South,Seattle,47.66932249268633::-122.3020915341995,7,759
Dewey Court,Dallas,32.68135786776082::-96.81510232369688,27,3702
Southwest 121st Avenue,Miami,26.59292728585653::-80.08857743452121,6,3214
Green River Road,Seattle,47.76961330827664::-122.2857655293404,7,2838
Jill Court,Chicago,42.00555091125716::-87.68180025493773,14,2969
Fuel Tender Road,Miami,26.1080348336184::-80.13879934317073,13,61
Pelham Bay Backwoods,New York,40.79858185406581::-73.85804787824533,15,3066
Simi Hills Golf Course,Los Angeles,34.06683919731399::-118.654876761454,7,2735
North 17th Avenue,Miami,26.66172580167613::-80.20800669917327,46,1267
Goolsby Boulevard,Miami,26.25585955118311::-80.23318687044839,22,1179
2246 East 12th Street,New York,40.63118652881061::-73.91229859875598,7,3092
Duncanville Road,Dallas,32.89710374059618::-97.25357060499628,29,219
Victor Avenue,Los Angeles,33.97268965599241::-118.0858953976712,7,2172
Mariposa Bay Lane,Los Angeles,34.10317137504855::-118.1291921170167,7,1745
,Seattle,47.54750040164515::-122.1618374500795,7,3290
El Camino del Mar,San Francisco,37.65720987541341::-122.4226952709057,7,3180
Sullivan Avenue,San Francisco,37.78808566520379::-122.4718926919183,7,57
Chelsea Road,Los Angeles,34.10775660247685::-118.9290115649946,32,3158
Mariposa Street,San Francisco,37.77282448636326::-122.3922790622164,56,3105
Chenault Street,Dallas,32.9596109443677::-97.18642942406375,6,716
44th Avenue,San Francisco,37.77138347735846::-122.5070590213758,15,3390
Loop Trail,Seattle,47.74596154048667::-122.1481814825079,7,3369
Aspen Street,New York,40.71443754684409::-73.8333379929668,24,1134
46th Avenue West,Seattle,47.45601732939011::-122.2897662365495,38,2662
,Seattle,47.58551103349492::-122.1612484213249,7,768
Lurmont Terrace,San Francisco,37.78188028220177::-122.4497469546665,9,1778
West 6th Avenue,Miami,25.67060289172895::-80.40234596448356,23,1971
Sand Canyon Road,Los Angeles,34.17044938263041::-118.5986772422143,22,441
Martin Luther King Jr Drive,San Francisco,37.72143044439822::-122.3927133853341,30,3188
North Nancita Street,Los Angeles,34.21041752106632::-118.894450599536,24,1083
West McNab Road,Miami,26.10824028894002::-80.288630114103,19,2114
MB Financial,Chicago,41.88954576699475::-87.68906613346861,7,3312
West 30th Street,Miami,26.06940802736091::-80.23783239700936,14,1937
South Spruce Avenue,San Francisco,37.73791734731743::-122.4521406265483,36,444
6121-6123 West Belmont Avenue,Chicago,41.97896842341525::-87.70177385398256,12,2011
Carob Way,Los Angeles,34.29248743753804::-118.615442144491,25,2843
Publix,Miami,26.50506257667447::-80.10727719240741,7,1898
West Wilson Avenue,Chicago,41.95008503315977::-87.66699384989009,42,1293
Southwest 40th Street,Seattle,47.53853735067639::-122.3192215440906,8,104
Fairfax Avenue,San Francisco,37.73959300459178::-122.3922784789166,46,601
